"All schools that appeared in the top 100 of USNWR, 2008-13",,,,,,,,,,,,,
,,,,,,,,,,,,,
2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,,Average
UC Santa Cruz,79,UC Santa Cruz*,96,UC Santa Cruz*,71,UC Santa Cruz*,72,University of CaliforniaSanta Cruz,75,University of California—​Santa Cruz,86,,79.83
University of Alabama,91,University of Alabama*,83,University of Alabama*,96,University of Alabama*,79,University of Alabama,75,University of Alabama,86,,85.00
University of Arizona,96,University of Arizona*,96,University of Arizona*,102,University of Arizona,120,University of Arizona,124,University of Arizona,119,,109.50
University of California Riverside,96,UC Riverside*,89,UC Riverside*,96,UC   Riverside*,94,University of CaliforniaRiverside,97,University of CaliforniaRiverside,112,,97.33
University of Chicago,9,University of Chicago,8,University of Chicago,8,University of Chicago,9,University of Chicago,5,University of Chicago,5,,7.33
University of Colorado Boulder,79,University of Colorado  Boulder*,77,University of Colorado Boulder*,77,University of Colorado  Boulder*,86,University of ColoradoBoulder,94,University of Colorado—​Boulder,86,,83.17
University of Connecticut,64,University of Connecticut*,66,University of Connecticut*,66,University of Connecticut*,69,University of Connecticut,58,University of Connecticut,57,,63.33
University of Delaware,71,University of Delaware*,71,University of Delaware*,68,University of Delaware*,75,University of Delaware,75,University of Delaware,75,,72.50
University of Denver,85,University of Denver,89,University of Denver,84,University of Denver,86,University of Denver,82,University of Denver,91,,86.17
University of Florida,49,University of Florida*,49,University of Florida*,47,University of Florida*,53,University of Florida,58,University of Florida,49,,50.83
University of Georgia,59,University of Georgia*,58,University of Georgia*,58,University of Georgia*,56,University of Georgia,62,University of Georgia,60,,58.83
University of Illinois Urbana Champaign,38,University of Illinois  Urbana Champaign*,40,University of Illinois Urbana Champaign*,39,University of Illinois  Urbana Champaign*,47,University of IllinoisUrbanaChampaign,45,University of Illinois—​Urbana-​Champaign,41,,41.67
University of Iowa,64,University of Iowa*,66,University of Iowa*,71,University of Iowa*,72,University of Iowa,71,University of Iowa,73,,69.50
University of Kansas,85,University of Kansas*,89,University of Kansas*,96,University of Kansas,104,University of Kansas,101,University of Kansas,101,,96.00
University of Maryland College Park,54,University of Maryland  College Park*,53,University of Maryland College Park*,53,University of Maryland  College Park*,56,University of MarylandCollege Park,55,University of Maryland—​College Park,62,,55.50
